"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Nov 14 19:01:15 GMT 2024","Thu Nov 14 19:01:15 GMT 2024","215","","Login","","com.vemser.rest.login.LoginTest","testLoginWithInvalidCredentials","[CT-LOGIN-02]: Tentar Login com credenciais inválidas","CT002: Tentar Login com credenciais inválidas"
"failed","Thu Nov 14 19:00:46 GMT 2024","Thu Nov 14 19:00:46 GMT 2024","41","","Login","","com.vemser.rest.login.LoginTest","testLoginJSONContract","[CT-LOGIN-04]: Validar contrato (JSON)","Validar contrato do JSON em Login"
"passed","Thu Nov 14 19:01:13 GMT 2024","Thu Nov 14 19:01:13 GMT 2024","291","","Get Products","","com.vemser.rest.products.GetProductsTest","testGetProductByIDWithValidParam","[CT-PRODUCTS-09]: Validar listar produto por ID com ID válido","CT018: Valida listar produto por ID com ID válido"
"passed","Thu Nov 14 19:01:12 GMT 2024","Thu Nov 14 19:01:12 GMT 2024","596","","Post Products","","com.vemser.rest.products.PostProductsTest","testCreateValidProduct","[CT-PRODUCTS-03]: Validar criar produto","CT008: Validar criar produto com dados válidos"
"passed","Thu Nov 14 19:01:13 GMT 2024","Thu Nov 14 19:01:13 GMT 2024","221","","Get Products","","com.vemser.rest.products.GetProductsTest","testGetProductByIDWithNegativeParam","[CT-PRODUCTS-10]: Tentar listar produto por ID com ID negativo","CT019: Tenta listar produto por ID com ID negativo"
"passed","Thu Nov 14 19:01:08 GMT 2024","Thu Nov 14 19:01:12 GMT 2024","3237","","Get Users","","com.vemser.rest.users.GetUsersTest","testValidGetClients","[CT-USERS-01]: Validar listar todos os usuários","CT004: Validar listar todos os usuários"
"failed","Thu Nov 14 19:01:14 GMT 2024","Thu Nov 14 19:01:14 GMT 2024","238","","Get Products","","com.vemser.rest.products.GetProductsTest","testGetAllAuthProductsWithoutAuth","[CT-PRODUCTS-02]: Tentar listar todos os produtos sem autenticação","CT007: Tentar listar todos os produtos sem autenticação"
"failed","Thu Nov 14 19:01:14 GMT 2024","Thu Nov 14 19:01:14 GMT 2024","222","","Login","","com.vemser.rest.login.LoginTest","testLoginWithValidCredentials","[CT-LOGIN-01]: Validar Login com credenciais válidas","CT001: Validar Login com credenciais válidas"
"passed","Thu Nov 14 19:01:13 GMT 2024","Thu Nov 14 19:01:14 GMT 2024","216","","Get Products","","com.vemser.rest.products.GetProductsTest","testGetAuthProductsWithInvalidToken","[CT-PRODUCTS-08]: Tenta listar todos os produtos (AUTH) com token inválido","CT017: Tenta listar todos os produtos (AUTH) com token inválido"
"passed","Thu Nov 14 19:00:45 GMT 2024","Thu Nov 14 19:00:46 GMT 2024","693","","Get Products","","com.vemser.rest.products.GetProductsTest","testGetProductByIDAndValidateJsonSchema","[CT-PRODUCTS-12]: Validar contrato do JSON em listar produto por ID","CT021: Valida contrato do JSON em listar produto por ID"
"broken","Thu Nov 14 19:00:46 GMT 2024","Thu Nov 14 19:00:46 GMT 2024","56","","Get Products","","com.vemser.rest.products.GetProductsTest","testGetAllProductsWithAuthAndValidateJsonSchema","[CT-PRODUCTS-07]: Validar contrato do JSON em listar produtos com autenticação","CT012: Validar contrato do JSON em listar produtos com autenticação"
"passed","Thu Nov 14 19:00:17 GMT 2024","Thu Nov 14 19:00:20 GMT 2024","3349","","Health Check","","com.vemser.rest.test.HealthCheckTest","testHealthCheckEndpoint","[CT-TEST-01]: Validar Test - Health Check","CT000: Validar Test (Health Check)"
"failed","Thu Nov 14 19:00:44 GMT 2024","Thu Nov 14 19:00:44 GMT 2024","189","","Get Users","","com.vemser.rest.users.GetUsersTest","testGetUsersJsonSchema","[CT-USERS-02]: Validar contrato JSON no endpoint users","CT015: Validar login de usuário listado em /users"
"passed","Thu Nov 14 19:00:42 GMT 2024","Thu Nov 14 19:00:44 GMT 2024","2352","","Health Check","","com.vemser.rest.test.HealthCheckTest","testHealthCheckJSONContract","[CT-TEST-02]: Validar contrato (JSON)","CT013: Validar contrato do JSON em Health Check"
"passed","Thu Nov 14 19:00:45 GMT 2024","Thu Nov 14 19:00:45 GMT 2024","360","","Get Products","","com.vemser.rest.products.GetProductsTest","testGetAllProductsWithoutAuthAndValidateJsonSchema","[CT-PRODUCTS-06]: Validar contrato do JSON em listar produtos sem autenticação","CT011: Validar contrato do JSON em listar produtos sem autenticação"
"passed","Thu Nov 14 19:01:14 GMT 2024","Thu Nov 14 19:01:15 GMT 2024","221","","Login","","com.vemser.rest.login.LoginTest","testLoginWithNullCredentials","[CT-LOGIN-03]: Tentar Login com credenciais nulas","CT003: Tentar login com credenciais nulas"
"broken","Thu Nov 14 19:01:13 GMT 2024","Thu Nov 14 19:01:13 GMT 2024","258","","Get Products","","com.vemser.rest.products.GetProductsTest","testGetAllAuthProductsWithAuth","[CT-PRODUCTS-01]: Validar listar todos os produtos com autenticação","CT006: Validar listar todos os produtos com autenticação"
"passed","Thu Nov 14 19:01:12 GMT 2024","Thu Nov 14 19:01:13 GMT 2024","258","","Get Products","","com.vemser.rest.products.GetProductsTest","testGetProductByIDWithTextParam","[CT-PRODUCTS-11]: Tentar listar produto por ID com letras","CT020: Tenta listar produto por ID com ID com letras"
"passed","Thu Nov 14 19:00:44 GMT 2024","Thu Nov 14 19:00:45 GMT 2024","462","","Post Products","","com.vemser.rest.products.PostProductsTest","testPostValidProductAndJsonSchema","[CT-PRODUCTS-05]: Validar contrato do JSON em cadastrar produto","CT010: Validar contrato do JSON em cadastrar produto"
