"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Feb 05 19:30:23 GMT 2025","Wed Feb 05 19:30:24 GMT 2025","48","","Login","","com.vemser.rest.login.LoginTest","testLoginWithNullCredentials","[CT-LOGIN-03]: Tentar Login com credenciais nulas","CT003: Tentar login com credenciais nulas"
"passed","Wed Feb 05 19:30:22 GMT 2025","Wed Feb 05 19:30:23 GMT 2025","715","","Get Products","","com.vemser.rest.products.GetProductsTest","testGetProductByIDWithTextParam","[CT-PRODUCTS-11]: Tentar listar produto por ID com letras","CT020: Tenta listar produto por ID com ID com letras"
"failed","Wed Feb 05 19:30:28 GMT 2025","Wed Feb 05 19:30:28 GMT 2025","358","","Get Users","","com.vemser.rest.users.GetUsersTest","testGetUsersJsonSchema","[CT-USERS-02]: Validar contrato JSON no endpoint users","CT015: Validar login de usuário listado em /users"
"passed","Wed Feb 05 19:30:28 GMT 2025","Wed Feb 05 19:30:29 GMT 2025","283","","Health Check","","com.vemser.rest.test.HealthCheckTest","testHealthCheckJSONContract","[CT-TEST-02]: Validar contrato (JSON)","CT013: Validar contrato do JSON em Health Check"
"failed","Wed Feb 05 19:30:23 GMT 2025","Wed Feb 05 19:30:23 GMT 2025","52","","Login","","com.vemser.rest.login.LoginTest","testLoginWithValidCredentials","[CT-LOGIN-01]: Validar Login com credenciais válidas","CT001: Validar Login com credenciais válidas"
"passed","Wed Feb 05 19:30:24 GMT 2025","Wed Feb 05 19:30:24 GMT 2025","50","","Login","","com.vemser.rest.login.LoginTest","testLoginWithInvalidCredentials","[CT-LOGIN-02]: Tentar Login com credenciais inválidas","CT002: Tentar Login com credenciais inválidas"
"passed","Wed Feb 05 19:30:23 GMT 2025","Wed Feb 05 19:30:26 GMT 2025","3049","","Post Products","","com.vemser.rest.products.PostProductsTest","testPostValidProductAndJsonSchema","[CT-PRODUCTS-05]: Validar contrato do JSON em cadastrar produto","CT010: Validar contrato do JSON em cadastrar produto"
"passed","Wed Feb 05 19:30:26 GMT 2025","Wed Feb 05 19:30:28 GMT 2025","1217","","Get Products","","com.vemser.rest.products.GetProductsTest","testGetProductByIDAndValidateJsonSchema","[CT-PRODUCTS-12]: Validar contrato do JSON em listar produto por ID","CT021: Valida contrato do JSON em listar produto por ID"
"passed","Wed Feb 05 19:30:26 GMT 2025","Wed Feb 05 19:30:26 GMT 2025","684","","Get Products","","com.vemser.rest.products.GetProductsTest","testGetAllProductsWithoutAuthAndValidateJsonSchema","[CT-PRODUCTS-06]: Validar contrato do JSON em listar produtos sem autenticação","CT011: Validar contrato do JSON em listar produtos sem autenticação"
"passed","Wed Feb 05 19:30:23 GMT 2025","Wed Feb 05 19:30:23 GMT 2025","71","","Get Products","","com.vemser.rest.products.GetProductsTest","testGetProductByIDWithNegativeParam","[CT-PRODUCTS-10]: Tentar listar produto por ID com ID negativo","CT019: Tenta listar produto por ID com ID negativo"
"passed","Wed Feb 05 19:30:23 GMT 2025","Wed Feb 05 19:30:23 GMT 2025","156","","Get Products","","com.vemser.rest.products.GetProductsTest","testGetProductByIDWithValidParam","[CT-PRODUCTS-09]: Validar listar produto por ID com ID válido","CT018: Valida listar produto por ID com ID válido"
"passed","Wed Feb 05 19:29:51 GMT 2025","Wed Feb 05 19:29:53 GMT 2025","2901","","Health Check","","com.vemser.rest.test.HealthCheckTest","testHealthCheckEndpoint","[CT-TEST-01]: Validar Test - Health Check","CT000: Validar Test (Health Check)"
"passed","Wed Feb 05 19:30:19 GMT 2025","Wed Feb 05 19:30:22 GMT 2025","2648","","Post Products","","com.vemser.rest.products.PostProductsTest","testCreateValidProduct","[CT-PRODUCTS-03]: Validar criar produto","CT008: Validar criar produto com dados válidos"
"broken","Wed Feb 05 19:30:28 GMT 2025","Wed Feb 05 19:30:28 GMT 2025","286","","Get Products","","com.vemser.rest.products.GetProductsTest","testGetAllProductsWithAuthAndValidateJsonSchema","[CT-PRODUCTS-07]: Validar contrato do JSON em listar produtos com autenticação","CT012: Validar contrato do JSON em listar produtos com autenticação"
"failed","Wed Feb 05 19:30:29 GMT 2025","Wed Feb 05 19:30:29 GMT 2025","273","","Login","","com.vemser.rest.login.LoginTest","testLoginJSONContract","[CT-LOGIN-04]: Validar contrato (JSON)","Validar contrato do JSON em Login"
"passed","Wed Feb 05 19:30:23 GMT 2025","Wed Feb 05 19:30:23 GMT 2025","65","","Get Products","","com.vemser.rest.products.GetProductsTest","testGetAuthProductsWithInvalidToken","[CT-PRODUCTS-08]: Tenta listar todos os produtos (AUTH) com token inválido","CT017: Tenta listar todos os produtos (AUTH) com token inválido"
"passed","Wed Feb 05 19:30:23 GMT 2025","Wed Feb 05 19:30:23 GMT 2025","260","","Get Users","","com.vemser.rest.users.GetUsersTest","testValidGetClients","[CT-USERS-01]: Validar listar todos os usuários","CT004: Validar listar todos os usuários"
"failed","Wed Feb 05 19:30:23 GMT 2025","Wed Feb 05 19:30:23 GMT 2025","80","","Get Products","","com.vemser.rest.products.GetProductsTest","testGetAllAuthProductsWithoutAuth","[CT-PRODUCTS-02]: Tentar listar todos os produtos sem autenticação","CT007: Tentar listar todos os produtos sem autenticação"
"broken","Wed Feb 05 19:30:23 GMT 2025","Wed Feb 05 19:30:23 GMT 2025","107","","Get Products","","com.vemser.rest.products.GetProductsTest","testGetAllAuthProductsWithAuth","[CT-PRODUCTS-01]: Validar listar todos os produtos com autenticação","CT006: Validar listar todos os produtos com autenticação"
